Center Name,Location (District),WhatsApp/Mobile,Source URL
আফিয়া একাডেমী,Cumilla,+8801986951959,https://www.google.com/maps/place/%E0%A6%86%E0%A6%AB%E0%A6%BF%E0%A7%9F%E0%A6%BE+%E0%A6%8F%E0%A6%95%E0%A6%BE%E0%A6%A1%E0%A7%87%E0%A6%AE%E0%A7%80/data=!4m7!3m6!1s0x37547f20215ecfef:0xd8e001e75991c5b6!8m2!3d23.4499544!4d91.1752451!16s%2Fg%2F11f54ktb4r!19sChIJ789eISB_VDcRtsWRWecB4Ng?authuser=0&hl=en&rclk=1
Ideal language & It Institute,Cumilla,+8801636888777,https://www.google.com/maps/place/Ideal+language+%26+It+Institute/data=!4m7!3m6!1s0x37547f3ae97b14ff:0x3215b41470f9b41b!8m2!3d23.4659668!4d91.1701177!16s%2Fg%2F11k1jh9x2n!19sChIJ_xR76Tp_VDcRG7T5cBS0FTI?authuser=0&hl=en&rclk=1
Enshikha,Cumilla,,https://www.google.com/maps/place/Enshikha/data=!4m7!3m6!1s0x37547f6a032b52ab:0x5e1df6ca633ad81b!8m2!3d23.4323292!4d91.171673!16s%2Fg%2F11x33yl811!19sChIJq1IrA2p_VDcRG9g6Y8r2HV4?authuser=0&hl=en&rclk=1
Cambridge International Islamic School,Cumilla,+8801326266888,https://www.google.com/maps/place/Cambridge+International+Islamic+School/data=!4m7!3m6!1s0x37547f016a2814b5:0x7e8292b5f041a34!8m2!3d23.4674084!4d91.174478!16s%2Fg%2F11xsgqhyz9!19sChIJtRQoagF_VDcRNBoEXysp6Ac?authuser=0&hl=en&rclk=1
"Technical Training Centre, Cumilla",Cumilla,+8801711947860,"https://www.google.com/maps/place/Technical+Training+Centre,+Cumilla/data=!4m7!3m6!1s0x37547e81cdf43bad:0x25aa45c873e49909!8m2!3d23.4281995!4d91.136626!16s%2Fg%2F11gmfy37v1!19sChIJrTv0zYF-VDcRCZnkc8hFqiU?authuser=0&hl=en&rclk=1"
Comilla Town Hall,Cumilla,,https://www.google.com/maps/place/Comilla+Town+Hall/data=!4m7!3m6!1s0x37547f2f87d509c5:0x1f3980a77f737c9a!8m2!3d23.4611199!4d91.1810628!16s%2Fg%2F1tfx380w!19sChIJxQnVhy9_VDcRmnxzf6eAOR8?authuser=0&hl=en&rclk=1
Teachers Training College,Cumilla,,https://www.google.com/maps/place/Teachers+Training+College/data=!4m7!3m6!1s0x37547e9d503b59d7:0xdbe7b9c4a3242ab9!8m2!3d23.4388951!4d91.1362016!16s%2Fg%2F11bvt9y0bm!19sChIJ11k7UJ1-VDcRuSoko8S559s?authuser=0&hl=en&rclk=1
Hotel Victory Abashik,Cumilla,+8801714030094,https://www.google.com/maps/place/Hotel+Victory+Abashik/data=!4m10!3m9!1s0x37547f5458cc06a1:0x26f1bbe7c5fc08ef!5m2!4m1!1i2!8m2!3d23.460319!4d91.1821359!16s%2Fg%2F11hz2y_xs2!19sChIJoQbMWFR_VDcR7wj8xee78SY?authuser=0&hl=en&rclk=1
Lucky House,Cumilla,,https://www.google.com/maps/place/Lucky+House/data=!4m7!3m6!1s0x37547ed8184fd59f:0xb1219c49a7cb0e04!8m2!3d23.461022!4d91.1721337!16s%2Fg%2F11vstq8mqp!19sChIJn9VPGNh-VDcRBA7Lp0mcIbE?authuser=0&hl=en&rclk=1
Language Club,Cumilla,+8801714500585,https://www.google.com/maps/place/Language+Club/data=!4m7!3m6!1s0x226cf1ce6680387:0xb14e015415e930cd!8m2!3d23.4227164!4d90.992961!16s%2Fg%2F11tdpt28cy!19sChIJhwNo5hzPJgIRzTDpFVQBTrE?authuser=0&hl=en&rclk=1
Cumilla Zilla school,Cumilla,,https://www.google.com/maps/place/Cumilla+Zilla+school/data=!4m7!3m6!1s0x37547f000fa99933:0x4a6ab77f20b7bf0c!8m2!3d23.4634719!4d91.1814679!16s%2Fm%2F03wjbhc!19sChIJM5mpDwB_VDcRDL-3IH-3ako?authuser=0&hl=en&rclk=1
"Cumilla Victoria Government College,Cumilla",Cumilla,,"https://www.google.com/maps/place/Cumilla+Victoria+Government+College,Cumilla/data=!4m7!3m6!1s0x37537d05fcfe94db:0x1d9bc8f29755e8e1!8m2!3d23.45967!4d91.1824773!16s%2Fm%2F03mc2mt!19sChIJ25T-_AV9UzcR4ehVl_LImx0?authuser=0&hl=en&rclk=1"
BRTC Cumilla,Cumilla,,https://www.google.com/maps/place/BRTC+Cumilla/data=!4m7!3m6!1s0x37547ed0a94461f1:0x189205f454e85685!8m2!3d23.462013!4d91.1687749!16s%2Fg%2F1wj_rmqz!19sChIJ8WFEqdB-VDcRhVboVPQFkhg?authuser=0&hl=en&rclk=1
কুমিল্লা,Cumilla,,https://www.google.com/maps/place/%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A6%BF%E0%A6%B2%E0%A7%8D%E0%A6%B2%E0%A6%BE/data=!4m7!3m6!1s0x37547fe1f0422405:0x45e2a2050a095aca!8m2!3d23.4587607!4d91.1809084!16s%2Fg%2F11k461lvpb!19sChIJBSRC8OF_VDcRyloJCgWi4kU?authuser=0&hl=en&rclk=1
DHL Express Service Point,Cumilla,0255668100,https://www.google.com/maps/place/DHL+Express+Service+Point/data=!4m7!3m6!1s0x37547f1782d887c9:0xa348b6c37516d10d!8m2!3d23.4463569!4d91.1838766!16s%2Fg%2F1hm2gftrz!19sChIJyYfYghd_VDcRDdEWdcO2SKM?authuser=0&hl=en&rclk=1
"Bhasha Shoinik Shaheed Dhirendranath Datta Stadium, Cumilla",Cumilla,,"https://www.google.com/maps/place/Bhasha+Shoinik+Shaheed+Dhirendranath+Datta+Stadium,+Cumilla/data=!4m7!3m6!1s0x37537d13d3971243:0x26bf8b929f145e36!8m2!3d23.4644716!4d91.1813622!16s%2Fm%2F0vzrb46!19sChIJQxKX0xN9UzcRNl4Un5KLvyY?authuser=0&hl=en&rclk=1"
Seiko Japanese Language & Cultural Centre,Cumilla,+8801763860976,https://www.google.com/maps/place/Seiko+Japanese+Language+%26+Cultural+Centre/data=!4m7!3m6!1s0x37547f005a95d405:0x9034a4744b369bd0!8m2!3d23.460122!4d91.1793918!16s%2Fg%2F11vy7np2f0!19sChIJBdSVWgB_VDcR0Js2S3SkNJA?authuser=0&hl=en&rclk=1
রোজ,Cumilla,,https://www.google.com/maps/place/%E0%A6%B0%E0%A7%8B%E0%A6%9C/data=!4m7!3m6!1s0x37547f006f4f9c2b:0x2eaaab5a94ad7124!8m2!3d23.4646455!4d91.1757278!16s%2Fg%2F11n4dyy6zt!19sChIJK5xPbwB_VDcRJHGtlFqrqi4?authuser=0&hl=en&rclk=1
Sundarban Courier Service - Kandirpar,Cumilla,+8801936003273,https://www.google.com/maps/place/Sundarban+Courier+Service+-+Kandirpar/data=!4m7!3m6!1s0x37547f2594a13b3b:0x99e80dbe85377de3!8m2!3d23.4601163!4d91.179613!16s%2Fg%2F12cnq9gjz!19sChIJOzuhlCV_VDcR4303hb4N6Jk?authuser=0&hl=en&rclk=1
RB AHMED MASUD RANA,Cumilla,,https://www.google.com/maps/place/RB+AHMED+MASUD+RANA/data=!4m7!3m6!1s0x3754797a27e6e679:0x5b2a2cc52d6fe64b!8m2!3d23.5627324!4d91.1407842!16s%2Fg%2F11jclc8jyz!19sChIJeebmJ3p5VDcRS-ZvLcUsKls?authuser=0&hl=en&rclk=1
English autonomy,Cumilla,+8801605367174,https://www.google.com/maps/place/English+autonomy/data=!4m7!3m6!1s0x68be866e55e743d7:0x442f09522a6961cd!8m2!3d23.506657!4d90.3443647!16s%2Fg%2F11xz1ksj4c!19sChIJ10PnVW6GvmgRzWFpKlIJL0Q?authuser=0&hl=en&rclk=1
Excelion IELTS Jashore,Jashore,+8801313658252,https://www.google.com/maps/place/Excelion+IELTS+Jashore/data=!4m7!3m6!1s0x39ff11487cfcc27f:0xafee25543e020ac8!8m2!3d23.164316!4d89.2163976!16s%2Fg%2F11ytq7nc0c!19sChIJf8L8fEgR_zkRyAoCPlQl7q8?authuser=0&hl=en&rclk=1
JIMS IELTS CENTER,Jashore,+8801711579970,https://www.google.com/maps/place/JIMS+IELTS+CENTER/data=!4m7!3m6!1s0x39ff1187947c44ff:0xced531c6d5f8eecf!8m2!3d23.1581047!4d89.2063171!16s%2Fg%2F11hsqhdc3f!19sChIJ_0R8lIcR_zkRz-741cYx1c4?authuser=0&hl=en&rclk=1
S@ifur's Jessore Branch (Campus-1),Jashore,+8801711900651,https://www.google.com/maps/place/S@ifur%27s+Jessore+Branch+%28Campus-1%29/data=!4m7!3m6!1s0x39ff10f15adc06eb:0xbe877c0db09af6a1!8m2!3d23.1593544!4d89.20315!16s%2Fg%2F11cmbn5dhp!19sChIJ6wbcWvEQ_zkRofaasA18h74?authuser=0&hl=en&rclk=1
UNMESH Jessore Branch,Jashore,+8801787687509,https://www.google.com/maps/place/UNMESH+Jessore+Branch/data=!4m7!3m6!1s0x39ff10f50aca4101:0x7676de7534923bca!8m2!3d23.1631076!4d89.2075514!16s%2Fg%2F11fxw94mxn!19sChIJAUHKCvUQ_zkRyjuSNHXednY?authuser=0&hl=en&rclk=1
Talking Academy japanese language School,Jashore,+8801641490431,https://www.google.com/maps/place/Talking+Academy+japanese+language+School/data=!4m7!3m6!1s0x39ff114605a8a4a9:0x4e5bfa05ee692ed2!8m2!3d23.1813778!4d89.191345!16s%2Fg%2F11np_613cb!19sChIJqaSoBUYR_zkR0i5p7gX6W04?authuser=0&hl=en&rclk=1
Korean Language Training Center. Jessore,Jashore,+8801755885645,https://www.google.com/maps/place/Korean+Language+Training+Center.+Jessore/data=!4m7!3m6!1s0x39ff11750f5ee86d:0x5ab46b7f769b08c!8m2!3d23.1495625!4d89.2027969!16s%2Fg%2F11vhdbrd2m!19sChIJbeheD3UR_zkRjLBp97dGqwU?authuser=0&hl=en&rclk=1
জাপান-কোরিয়া ভাষা ইনস্টিটিউট,Jashore,+8801918314699,https://www.google.com/maps/place/%E0%A6%9C%E0%A6%BE%E0%A6%AA%E0%A6%BE%E0%A6%A8-%E0%A6%95%E0%A7%8B%E0%A6%B0%E0%A6%BF%E0%A7%9F%E0%A6%BE+%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE+%E0%A6%87%E0%A6%A8%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A6%BF%E0%A6%9F%E0%A6%BF%E0%A6%89%E0%A6%9F/data=!4m7!3m6!1s0x39ff11f8bfeea6e7:0xe8cb168c5b144e0c!8m2!3d23.1647077!4d89.2179463!16s%2Fg%2F11k3xhtmv4!19sChIJ56buv_gR_zkRDE4UW4wWy-g?authuser=0&hl=en&rclk=1
Learning Club BD,Jashore,+8801873459430,https://www.google.com/maps/place/Learning+Club+BD/data=!4m7!3m6!1s0x39ff119d8e63062f:0x64fcc71c0785fa77!8m2!3d23.1640643!4d89.20645!16s%2Fg%2F11z5xv0499!19sChIJLwZjjp0R_zkRd_qFBxzH_GQ?authuser=0&hl=en&rclk=1
Japan Korea language institute,Jashore,+8801718955845,https://www.google.com/maps/place/Japan+Korea+language+institute/data=!4m7!3m6!1s0x39ff1155c89c8ee7:0x27b78efbf9b1373f!8m2!3d23.1733085!4d89.2041228!16s%2Fg%2F11shnr2g3d!19sChIJ546cyFUR_zkRPzex-fuOtyc?authuser=0&hl=en&rclk=1
Shining Education (Jashore Branch),Jashore,+8801919818194,https://www.google.com/maps/place/Shining+Education+%28Jashore+Branch%29/data=!4m7!3m6!1s0x8363c2d941199c0b:0xe0008c09349bb473!8m2!3d23.165755!4d89.1995882!16s%2Fg%2F11ykmr2mpw!19sChIJC5wZQdnCY4MRc7SbNAmMAOA?authuser=0&hl=en&rclk=1
"Government Teachers Training College, Jashore",Jashore,042166461,"https://www.google.com/maps/place/Government+Teachers+Training+College,+Jashore/data=!4m7!3m6!1s0x39ff10640576ee9d:0xc252b270c1a734ac!8m2!3d23.1732966!4d89.2137549!16s%2Fg%2F11zm950lc!19sChIJne52BWQQ_zkRrDSnwXCyUsI?authuser=0&hl=en&rclk=1"
brother tito's home,Jashore,+8801768181920,https://www.google.com/maps/place/brother+tito%27s+home/data=!4m7!3m6!1s0x39ff115f65b84991:0x7bb2097abd45ca04!8m2!3d23.1647279!4d89.21206!16s%2Fg%2F11f15fm5t7!19sChIJkUm4ZV8R_zkRBMpFvXoJsns?authuser=0&hl=en&rclk=1
"Skill Development Training Center, Jashore",Jashore,+8801831330334,"https://www.google.com/maps/place/Skill+Development+Training+Center,+Jashore/data=!4m7!3m6!1s0x39ff11561d0c274b:0xe1a52d00200b4414!8m2!3d23.1684069!4d89.2173462!16s%2Fg%2F11h874qys2!19sChIJSycMHVYR_zkRFEQLIAAtpeE?authuser=0&hl=en&rclk=1"
Warisha Education,Jashore,+8801791899490,https://www.google.com/maps/place/Warisha+Education/data=!4m7!3m6!1s0x39ff10f6f0509be1:0x5a302589d5f615d3!8m2!3d23.158266!4d89.2060256!16s%2Fg%2F11h5dn1skm!19sChIJ4ZtQ8PYQ_zkR0xX21YklMFo?authuser=0&hl=en&rclk=1
3 LANGUAGE LEARNING INTERNATIONAL HIFZ MADRASAH,Jashore,+8801726275665,https://www.google.com/maps/place/3+LANGUAGE+LEARNING+INTERNATIONAL+HIFZ+MADRASAH/data=!4m7!3m6!1s0x39ff11005e74eec9:0x578490000778d4f8!8m2!3d23.1782523!4d89.1912288!16s%2Fg%2F11w9jpfmcd!19sChIJye50XgAR_zkR-NR4BwCQhFc?authuser=0&hl=en&rclk=1
JASHORE ENGLISH SCHOOL & COLLEGE (JESC) JASHORE CANTONMENT,Jashore,,https://www.google.com/maps/place/JASHORE+ENGLISH+SCHOOL+%26+COLLEGE+%28JESC%29+JASHORE+CANTONMENT/data=!4m7!3m6!1s0x39ff10beb6d8956b:0x2e5373d9329bb497!8m2!3d23.1707557!4d89.1853057!16s%2Fg%2F11bzrfxc6h!19sChIJa5XYtr4Q_zkRl7SbMtlzUy4?authuser=0&hl=en&rclk=1
English Language Institute,Jashore,,https://www.google.com/maps/place/English+Language+Institute/data=!4m7!3m6!1s0x39ff11bfdaf7fd4b:0xbfc627868aced3fe!8m2!3d23.1631625!4d89.2050211!16s%2Fg%2F11y222k8t8!19sChIJS_332r8R_zkR_tPOioYnxr8?authuser=0&hl=en&rclk=1
Jashore Central Shahid Minar,Jashore,+8801997044477,https://www.google.com/maps/place/Jashore+Central+Shahid+Minar/data=!4m7!3m6!1s0x39ff108afca3258f:0xe8cc113e0aa3c8c7!8m2!3d23.1688218!4d89.20587!16s%2Fg%2F11gd__8w7c!19sChIJjyWj_IoQ_zkRx8ijCj4RzOg?authuser=0&hl=en&rclk=1
Center for English Language,Kushtia,+8801711078770,https://www.google.com/maps/place/Center+for+English+Language/data=!4m7!3m6!1s0x39fe97920b808f77:0x5b133b1f1af98bd3!8m2!3d23.911025!4d89.1300131!16s%2Fg%2F11sbkyysl6!19sChIJd4-AC5KX_jkR04v5Gh87E1s?authuser=0&hl=en&rclk=1
Oasis Informatics,Kushtia,+8801301160205,https://www.google.com/maps/place/Oasis+Informatics/data=!4m7!3m6!1s0x39fe970002bc1b33:0xab3d6d42dd13438a!8m2!3d23.9025991!4d89.1181608!16s%2Fg%2F11y3d6llwq!19sChIJMxu8AgCX_jkRikMT3UJtPas?authuser=0&hl=en&rclk=1
Centre for Global Studies,Kushtia,+8801955991111,https://www.google.com/maps/place/Centre+for+Global+Studies/data=!4m7!3m6!1s0x39fe977f8e683227:0x7775fc7349dc50ea!8m2!3d23.9058174!4d89.1311743!16s%2Fg%2F11y761yzqp!19sChIJJzJojn-X_jkR6lDcSXP8dXc?authuser=0&hl=en&rclk=1
MENTOR,Kushtia,+8801717007903,https://www.google.com/maps/place/MENTOR/data=!4m7!3m6!1s0x39fe96556c9f2f3d:0x930f5dc78dabbf76!8m2!3d23.9017706!4d89.1313558!16s%2Fg%2F1pt_bbsmd!19sChIJPS-fbFWW_jkRdr-rjcddD5M?authuser=0&hl=en&rclk=1
Kushtia Ielts Care,Kushtia,+8801715052885,https://www.google.com/maps/place/Kushtia+Ielts+Care/data=!4m7!3m6!1s0x39fe97be9bad91d9:0x670531964b8a89d4!8m2!3d23.9005003!4d89.1316801!16s%2Fg%2F11ldczq9ww!19sChIJ2ZGtm76X_jkR1ImKS5YxBWc?authuser=0&hl=en&rclk=1
Let's Practice English,Kushtia,+8801716076546,https://www.google.com/maps/place/Let%27s+Practice+English/data=!4m7!3m6!1s0x39fe970935aa02f5:0xa21f20f9e87ae59e!8m2!3d23.8937535!4d89.1363963!16s%2Fg%2F11qmbcn87x!19sChIJ9QKqNQmX_jkRnuV66PkgH6I?authuser=0&hl=en&rclk=1
Shahin's Spoken English & IELTS. KUSHTIA,Kushtia,+8801715322579,https://www.google.com/maps/place/Shahin%27s+Spoken+English+%26+IELTS.+KUSHTIA/data=!4m7!3m6!1s0x39fe9779cf1a0bbf:0x637bf9a46fb817f7!8m2!3d23.9003958!4d89.1317357!16s%2Fg%2F11sb96gnwp!19sChIJvwsaz3mX_jkR9xe4b6T5e2M?authuser=0&hl=en&rclk=1
"Korean Language Center, Kushtia",Kushtia,,"https://www.google.com/maps/place/Korean+Language+Center,+Kushtia/data=!4m7!3m6!1s0x39fe970072f52285:0xeef6a7833541d0d!8m2!3d23.9007905!4d89.13528!16s%2Fg%2F11vyrzmftz!19sChIJhSL1cgCX_jkRDR1UM3hq7w4?authuser=0&hl=en&rclk=1"
এস এস কোরিয়ান ল্যাংগুয়েজ সেন্টার।,Kushtia,+8801913999387,https://www.google.com/maps/place/%E0%A6%8F%E0%A6%B8+%E0%A6%8F%E0%A6%B8+%E0%A6%95%E0%A7%8B%E0%A6%B0%E0%A6%BF%E0%A7%9F%E0%A6%BE%E0%A6%A8+%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%82%E0%A6%97%E0%A7%81%E0%A7%9F%E0%A7%87%E0%A6%9C+%E0%A6%B8%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A5%A4/data=!4m7!3m6!1s0x39fe97ac09e78843:0x6c2023310f166714!8m2!3d23.9092179!4d89.1279692!16s%2Fg%2F11g9vw1j8g!19sChIJQ4jnCayX_jkRFGcWDzEjIGw?authuser=0&hl=en&rclk=1
"NIHONGO EDUCATION CENTER, KUSHTIA",Kushtia,+8801621757574,"https://www.google.com/maps/place/NIHONGO+EDUCATION+CENTER,+KUSHTIA/data=!4m7!3m6!1s0x39fe970007765957:0x2cbccc7ef16f72b9!8m2!3d23.9032741!4d89.1254429!16s%2Fg%2F11ltjnysjb!19sChIJV1l2BwCX_jkRuXJv8X7MvCw?authuser=0&hl=en&rclk=1"
"Japan Education And Job Corner, Kushtia.",Kushtia,+8801711330837,"https://www.google.com/maps/place/Japan+Education+And+Job+Corner,+Kushtia./data=!4m7!3m6!1s0x39fe9700457ab34f:0x5915b60a97117599!8m2!3d23.9017325!4d89.1315634!16s%2Fg%2F11y3xtk4cy!19sChIJT7N6RQCX_jkRmXURlwq2FVk?authuser=0&hl=en&rclk=1"
English Universe,Kushtia,+8801829229823,https://www.google.com/maps/place/English+Universe/data=!4m7!3m6!1s0x39fe97edf4afd80d:0x7a5584e8d3a89fdd!8m2!3d23.9107615!4d89.1291883!16s%2Fg%2F11ltq_hc_5!19sChIJDdiv9O2X_jkR3Z-o0-iEVXo?authuser=0&hl=en&rclk=1
An Nur Japanese language school Kushtia,Kushtia,,https://www.google.com/maps/place/An+Nur+Japanese+language+school+Kushtia/data=!4m7!3m6!1s0x39fe97000ddbcddd:0xd3923722c2ad2a3d!8m2!3d23.9089938!4d89.1225006!16s%2Fg%2F11w49k8y0y!19sChIJ3c3bDQCX_jkRPSqtwiI3ktM?authuser=0&hl=en&rclk=1
Bengal Institute,Kushtia,+8801782824582,https://www.google.com/maps/place/Bengal+Institute/data=!4m7!3m6!1s0x39fe96553bce90a5:0xfe65ca917ec98700!8m2!3d23.9090206!4d89.122486!16s%2Fg%2F11d_w60sj3!19sChIJpZDOO1WW_jkRAIfJfpHKZf4?authuser=0&hl=en&rclk=1
Fujiyama Japanese Language Learning Center (ফুজিইয়ামা জাপানিজ ল্যাংগুয়েজ লার্নিং সেন্টার),Kushtia,+8801637423199,https://www.google.com/maps/place/Fujiyama+Japanese+Language+Learning+Center+%28%E0%A6%AB%E0%A7%81%E0%A6%9C%E0%A6%BF%E0%A6%87%E0%A7%9F%E0%A6%BE%E0%A6%AE%E0%A6%BE+%E0%A6%9C%E0%A6%BE%E0%A6%AA%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A6%9C+%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%82%E0%A6%97%E0%A7%81%E0%A7%9F%E0%A7%87%E0%A6%9C+%E0%A6%B2%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A8%E0%A6%BF%E0%A6%82+%E0%A6%B8%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B0%29/data=!4m7!3m6!1s0x39fe97ff222a45eb:0xb708ced47b41d6ba!8m2!3d23.8983978!4d89.1246891!16s%2Fg%2F11l5f2khm5!19sChIJ60UqIv-X_jkRutZBe9TOCLc?authuser=0&hl=en&rclk=1
"Child Development & Therapy Center (CDC), Kushtia",Kushtia,+8801836331969,"https://www.google.com/maps/place/Child+Development+%26+Therapy+Center+%28CDC%29,+Kushtia/data=!4m7!3m6!1s0x39fea59161c06d59:0x803107f89306676c!8m2!3d23.90561!4d89.1190942!16s%2Fg%2F11t4fwvsjb!19sChIJWW3AYZGl_jkRbGcGk_gHMYA?authuser=0&hl=en&rclk=1"
Computer Space Institute,Kushtia,+8801741555505,https://www.google.com/maps/place/Computer+Space+Institute/data=!4m7!3m6!1s0x39fe9654ce8fea07:0xb7154002cd7315ca!8m2!3d23.90319!4d89.1293224!16s%2Fg%2F11c2r6yks5!19sChIJB-qPzlSW_jkRyhVzzQJAFbc?authuser=0&hl=en&rclk=1
"Technical Training Center, Kushtia",Kushtia,,"https://www.google.com/maps/place/Technical+Training+Center,+Kushtia/data=!4m7!3m6!1s0x39fe9712aaf16a21:0x7cc2a517401f5b7a!8m2!3d23.890029!4d89.1152075!16s%2Fg%2F11fkcj7qgm!19sChIJIWrxqhKX_jkRelsfQBelwnw?authuser=0&hl=en&rclk=1"
Education Zone,Kushtia,+8801711330837,https://www.google.com/maps/place/Education+Zone/data=!4m7!3m6!1s0x39fe9742d92a659d:0xc09c302f2a808f39!8m2!3d23.9007226!4d89.1265791!16s%2Fg%2F11qg0bwkjf!19sChIJnWUq2UKX_jkROY-AKi8wnMA?authuser=0&hl=en&rclk=1
Skill Development Institute,Kushtia,+8801751508676,https://www.google.com/maps/place/Skill+Development+Institute/data=!4m7!3m6!1s0x39fe973dea3a765b:0x8dc202be0b8a8947!8m2!3d23.9042475!4d89.1279978!16s%2Fg%2F11tslrhy_v!19sChIJW3Y66j2X_jkRR4mKC74Cwo0?authuser=0&hl=en&rclk=1
আল হাদী বিশ্ববিদ্যালয় ভর্তি কোচিং,Kushtia,+8801780443054,https://www.google.com/maps/place/%E0%A6%86%E0%A6%B2+%E0%A6%B9%E0%A6%BE%E0%A6%A6%E0%A7%80+%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2%E0%A7%9F+%E0%A6%AD%E0%A6%B0%E0%A7%8D%E0%A6%A4%E0%A6%BF+%E0%A6%95%E0%A7%8B%E0%A6%9A%E0%A6%BF%E0%A6%82/data=!4m7!3m6!1s0x39fe971d5b6d1075:0xe9f0244392626049!8m2!3d23.8930515!4d89.1113659!16s%2Fg%2F11trc4tm1v!19sChIJdRBtWx2X_jkRSWBikkMk8Ok?authuser=0&hl=en&rclk=1
Learn BD Skill,Kushtia,+8801630151771,https://www.google.com/maps/place/Learn+BD+Skill/data=!4m7!3m6!1s0x39fe97ddb0786895:0xe5125a679b79b515!8m2!3d23.9004111!4d89.1363987!16s%2Fg%2F11m5hwb4dm!19sChIJlWh4sN2X_jkRFbV5m2daEuU?authuser=0&hl=en&rclk=1
Home Service Kushtia,Kushtia,+8801793452624,https://www.google.com/maps/place/Home+Service+Kushtia/data=!4m7!3m6!1s0x8f52a7d4de839e4b:0x1c6f95d4d24c12d5!8m2!3d23.9085183!4d89.1285087!16s%2Fg%2F11vqrqqnmr!19sChIJS56D3tSnUo8R1RJM0tSVbxw?authuser=0&hl=en&rclk=1
Japanese language,Kushtia,+8801568688990,https://www.google.com/maps/place/Japanese+language/data=!4m7!3m6!1s0x4de923605394a037:0x113d5ee5f3349bb5!8m2!3d23.9456765!4d89.0314716!16s%2Fg%2F11mrdbdvbv!19sChIJN6CUU2Aj6U0RtZs08-VePRE?authuser=0&hl=en&rclk=1
Technical Training Center,Kushtia,,https://www.google.com/maps/place/Technical+Training+Center/data=!4m7!3m6!1s0x39fe9647b990f68f:0x192ca10571ad0623!8m2!3d23.8895902!4d89.1150558!16s%2Fg%2F11bvtfpxv1!19sChIJj_aQuUeW_jkRIwatcQWhLBk?authuser=0&hl=en&rclk=1
Technical Training Center (TTC),Kushtia,+8801959081769,https://www.google.com/maps/place/Technical+Training+Center+%28TTC%29/data=!4m7!3m6!1s0x39f949e330713f7b:0xeb5f398c0b5b9bed!8m2!3d23.7827763!4d88.6613147!16s%2Fg%2F11fm_lvnj6!19sChIJez9xMONJ-TkR7ZtbC4w5X-s?authuser=0&hl=en&rclk=1
Momiji Japanese language center,Kushtia,,https://www.google.com/maps/place/Momiji+Japanese+language+center/data=!4m7!3m6!1s0x39fe61004ac17f99:0x58805c4faec24fc6!8m2!3d23.7793658!4d89.4217332!16s%2Fg%2F11y51fj7jm!19sChIJmX_BSgBh_jkRxk_Crk9cgFg?authuser=0&hl=en&rclk=1
Kushtia Government Technical School and College,Kushtia,07171065,https://www.google.com/maps/place/Kushtia+Government+Technical+School+and+College/data=!4m7!3m6!1s0x39fe9650614e36a3:0xfa6d99012e2956de!8m2!3d23.892914!4d89.1246027!16s%2Fg%2F11c6cq7cbk!19sChIJozZOYVCW_jkR3lYpLgGZbfo?authuser=0&hl=en&rclk=1
Aim Genius Institute & Career Ltd.,Kushtia,+8801739034464,https://www.google.com/maps/place/Aim+Genius+Institute+%26+Career+Ltd./data=!4m7!3m6!1s0x2f87bed70ce4ca39:0x7401641153479cd3!8m2!3d23.506657!4d90.3443647!16s%2Fg%2F11l6jkrngl!19sChIJOcrkDNe-hy8R05xHUxFkAXQ?authuser=0&hl=en&rclk=1
Kushtia Govt. College,Kushtia,,https://www.google.com/maps/place/Kushtia+Govt.+College/data=!4m7!3m6!1s0x39fe965494e24309:0x4d0379d70181e008!8m2!3d23.902684!4d89.1284759!16s%2Fg%2F11c680fh_b!19sChIJCUPilFSW_jkRCOCBAdd5A00?authuser=0&hl=en&rclk=1
Shahittik Mir Mosharraf Hossain School,Kushtia,,https://www.google.com/maps/place/Shahittik+Mir+Mosharraf+Hossain+School/data=!4m7!3m6!1s0x39fe97ad63d9be7d:0xa523c468424a90d0!8m2!3d23.9054594!4d89.1231119!16s%2Fg%2F11g6nkz_lw!19sChIJfb7ZY62X_jkR0JBKQmjEI6U?authuser=0&hl=en&rclk=1
